roi,band,contrast,Hilbert,IRASA,Residual
L_STG,delta,WS->ESS1,0.06922985642157543,0.07814285476056537,0.8048282707813887
L_STG,delta,WS->LSS1,1.3265141633234199,0.9593734962940713,1.1917619641223691
L_STG,delta,WS->TS,-0.42559724519301684,-0.19706829525468006,0.10007076903020343
L_STG,theta,ESS1->LSS1,1.4393675279335456,0.7893386307451813,0.40628598758173495
L_STG,theta,TS->ESS1,0.6750411012520192,0.31328488467043575,0.461590432999678
L_STG,theta,WS->ESS1,0.6061133174545205,0.24606801542012607,0.6735242093616
L_STG,theta,WS->LSS1,1.5584444144830654,0.9594987727787221,0.9942327623390141
L_STG,theta,WS->TS,0.22067422177496232,0.026073091295573062,0.35738890020866154
Occipital,alpha1,ESS1->LSS1,-0.13686825182423032,-0.125782829232145,-0.4841329629023207
Occipital,alpha1,TS->ESS1,-1.6445984333122419,-1.4970148340044727,-1.8865183370448961
Occipital,alpha1,WS->ESS1,-2.3810244786442336,-2.2619139950336367,-2.1484170478154287
Occipital,alpha1,WS->LSS1,-2.3471930403456134,-2.1733344490789723,-2.396730536476059
Occipital,alpha1,WS->TS,-1.2631871338206708,-1.1343406681390802,-0.598597375816947
Occipital,alpha2,ESS1->LSS1,-0.07900111390275498,-0.14462209465916478,-0.04354073465782367
Occipital,alpha2,TS->ESS1,-1.4969331205178782,-1.182827601581769,-1.311862147521726
Occipital,alpha2,WS->ESS1,-1.8169087197786444,-1.456972700476251,-1.4324325223940424
Occipital,alpha2,WS->LSS1,-1.728153104344661,-1.532920185119072,-1.358278404099688
Occipital,alpha2,WS->TS,-0.7407646183754399,-0.7922747368800049,-0.45128775839191804
Occipital,beta1,ESS1->LSS1,0.16625935611636522,0.06907137741476915,0.34917294472366106
Occipital,beta1,TS->ESS1,-0.5435752907685092,-0.19333625728469603,0.2537639604371584
Occipital,beta1,WS->ESS1,-1.1234646313129935,-0.8755957026174417,-0.3357631951550148
Occipital,beta1,WS->LSS1,-0.9189087186686594,-0.8293405709929706,-0.038456551488103556
Occipital,beta1,WS->TS,-0.9709075848370187,-1.035574211259575,-0.6018486058273919
Occipital,beta2,ESS1->LSS1,-0.40802576699806586,-0.2075567515641836,-0.047773420454528204
Occipital,beta2,TS->ESS1,-1.1682356662445226,-0.8473442915026728,-0.524355374924046
Occipital,beta2,WS->ESS1,-1.5645461856828673,-1.1817380659440315,-0.7751948447461208
Occipital,beta2,WS->LSS1,-1.8554092095460073,-1.4700356196326183,-0.73569908116612
Occipital,beta2,WS->TS,-0.9990451368570071,-0.6508175352550343,-0.3854437289796295
Occipital,beta3,ESS1->LSS1,-0.64245851740521,-0.5025330574158505,-0.24540002587656506
Occipital,beta3,TS->ESS1,-0.7239017255181329,-0.43999438835132915,0.3807933444602885
Occipital,beta3,WS->ESS1,-0.9673820887711271,-0.6625030868000062,0.6108114898693973
Occipital,beta3,WS->LSS1,-1.4360776962859318,-1.1163628081159565,0.35964042375746996
Occipital,beta3,WS->TS,-0.45743553000234627,-0.2987078298481308,0.3013948817031295
Occipital,delta,ESS1->LSS1,1.0780919409218053,0.3881567604374446,-0.03940532687877682
Occipital,delta,TS->ESS1,0.43627728244534086,0.28025842880953,0.4735356624763674
Occipital,delta,WS->ESS1,-0.27926697316330584,0.09107772803826325,0.2335506696623482
Occipital,delta,WS->LSS1,0.46408804395563824,0.5390311244528552,0.17506410512486092
Occipital,delta,WS->TS,-0.5919673278050028,-0.13652382738776858,-0.12398021838542288
Occipital,theta,ESS1->LSS1,1.2374887561610903,0.40221123270025727,-0.007482573457313485
