roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi,band,metric_type
R_STG,alpha2_peak_height_log10,TS->ESS1,TS → ESS1,61,-1.9074043104836522,7.969988623681144e-22,***,-0.5805727163542245,-0.658527650214269,-0.50261778249418,alpha2,peak_height
R_STG,alpha2_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.3551218420144006,0.007377578525468812,**,-0.06374873969978732,-0.1097239752662737,-0.017773504133300956,alpha2,peak_height
R_STG,alpha2_peak_height_log10,WS->ESS1,WS → ESS1,61,-2.000780933081662,8.076493474424802e-23,***,-0.6789205826576659,-0.7658264663118327,-0.592014699003499,alpha2,peak_height
R_STG,alpha2_peak_height_log10,WS->LSS1,WS → LSS1,61,-2.0596310245391383,1.9727373378853605e-23,***,-0.7426693223574533,-0.8350190894094657,-0.6503195553054409,alpha2,peak_height
R_STG,beta1_peak_height_log10,WS->TS,WS → TS,61,-0.5490319501882969,6.645673988143756e-05,***,-0.08935636142111539,-0.1310392303032637,-0.04767349253896708,beta1,peak_height
R_STG,beta1_peak_height_log10,TS->ESS1,TS → ESS1,61,-0.026431493047886015,0.8371488450199828,ns,-0.003019817301323585,-0.03228078721090376,0.026241152608256588,beta1,peak_height
R_STG,beta1_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,0.5984547519103874,1.7170919338981044e-05,***,0.10542663911440157,0.060308748527535434,0.15054452970126772,beta1,peak_height
R_STG,beta1_peak_height_log10,WS->ESS1,WS → ESS1,61,-0.5081308781913282,0.00019570789326921108,***,-0.09237617872243896,-0.13893630511893038,-0.045816052325947536,beta1,peak_height
R_STG,beta1_peak_height_log10,WS->LSS1,WS → LSS1,61,0.052682924164335274,0.6821964071817727,ns,0.013050460391962592,-0.05039283088983066,0.07649375167375584,beta1,peak_height
R_STG,beta2_peak_height_log10,WS->TS,WS → TS,61,-0.7673083711905493,1.2628415380827848e-07,***,-0.10937179478632768,-0.1458778702486058,-0.07286571932404956,beta2,peak_height
R_STG,beta2_peak_height_log10,TS->ESS1,TS → ESS1,61,-0.7114368060351469,6.668308017307914e-07,***,-0.09421964023231728,-0.12813800111144846,-0.06030127935318611,beta2,peak_height
R_STG,beta2_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.1375170649782265,0.2871040888732964,ns,-0.013992720642251362,-0.04005277478479145,0.012067333500288728,beta2,peak_height
R_STG,beta2_peak_height_log10,WS->ESS1,WS → ESS1,61,-1.1576338335912568,8.407896684705961e-13,***,-0.203591435018645,-0.24863347345800102,-0.15854939657928896,beta2,peak_height
R_STG,beta2_peak_height_log10,WS->LSS1,WS → LSS1,61,-1.173839618725697,5.153982349979396e-13,***,-0.2175841556608963,-0.2650573273797615,-0.17011098394203114,beta2,peak_height
R_STG,beta3_peak_height_log10,WS->TS,WS → TS,61,0.17892495745150128,0.16742491726345687,ns,0.022550645807025104,-0.009728185761464166,0.05482947737551437,beta3,peak_height
R_STG,beta3_peak_height_log10,TS->ESS1,TS → ESS1,61,0.48962178223877756,0.00031482973893035454,***,0.0530487387501376,0.025299947037977978,0.08079753046229723,beta3,peak_height
R_STG,beta3_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.6363948002200392,5.891932930149546e-06,***,-0.06176898236123157,-0.08662740505440131,-0.03691055966806184,beta3,peak_height
R_STG,beta3_peak_height_log10,WS->ESS1,WS → ESS1,61,0.5415892049687819,8.112206871103792e-05,***,0.07559938455716271,0.03984922329024383,0.11134954582408159,beta3,peak_height
R_STG,beta3_peak_height_log10,WS->LSS1,WS → LSS1,61,0.08186132840975523,0.5250240445038002,ns,0.013830402195931126,-0.02943948534756472,0.05710028973942697,beta3,peak_height
R_STG,delta_peak_height_log10,WS->TS,WS → TS,61,0.23015462482396518,0.07727827460806616,ns,0.03459257810633672,-0.003901415386408043,0.0730865715990815,delta,peak_height
R_STG,delta_peak_height_log10,TS->ESS1,TS → ESS1,61,0.9357431077999805,7.442512210307639e-10,***,0.14231060915022187,0.10336034698222059,0.18126087131822316,delta,peak_height
R_STG,delta_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,0.6273790159083245,7.613669513447151e-06,***,0.1207650472097064,0.07146571785344527,0.17006437656596754,delta,peak_height
R_STG,delta_peak_height_log10,WS->ESS1,WS → ESS1,61,0.8956949721320431,2.545136914032732e-09,***,0.1769031872565586,0.12632010773657085,0.22748626677654635,delta,peak_height
R_STG,delta_peak_height_log10,WS->LSS1,WS → LSS1,61,1.3445381674090195,3.2485361959589776e-15,***,0.29766823446626495,0.240967445611464,0.3543690233210659,delta,peak_height
R_STG,log10_power_alpha1,WS->TS,WS → TS,61,-1.4005284092223704,6.420468487045609e-16,***,-0.25802279152991736,-0.30520691496508456,-0.21083866809475013,alpha1,band_power
R_STG,log10_power_alpha1,TS->ESS1,TS → ESS1,61,-1.6697633643116423,3.653452060899522e-19,***,-0.5522285515304411,-0.6369305531486982,-0.4675265499121842,alpha1,band_power
R_STG,log10_power_alpha1,ESS1->LSS1,ESS1 → LSS1,61,0.3688006504929261,0.0054996263231755615,**,0.07222309134643669,0.022068102327407836,0.12237808036546555,alpha1,band_power
R_STG,log10_power_alpha1,WS->ESS1,WS → ESS1,61,-2.368789568316564,1.7929178432857214e-26,***,-0.8102513430603584,-0.8978551586532787,-0.7226475274674381,alpha1,band_power
R_STG,log10_power_alpha1,WS->LSS1,WS → LSS1,61,-2.110528136437038,5.949326740337398e-24,***,-0.7380282517139216,-0.8275877362250598,-0.6484687672027835,alpha1,band_power
R_STG,log10_power_alpha2,WS->TS,WS → TS,61,-0.8532928476839294,9.318781825477564e-09,***,-0.17165614333276608,-0.223177938895982,-0.12013434776955015,alpha2,band_power
R_STG,log10_power_alpha2,TS->ESS1,TS → ESS1,61,-1.8813656951718654,1.5268894312809835e-21,***,-0.5199535201494587,-0.5907352295078575,-0.4491718107910599,alpha2,band_power
R_STG,log10_power_alpha2,ESS1->LSS1,ESS1 → LSS1,61,0.3511797647760571,0.008019313741842464,**,0.051959266974719594,0.014065892953554197,0.089852640995885,alpha2,band_power
R_STG,log10_power_alpha2,WS->ESS1,WS → ESS1,61,-2.2060545793349484,6.591097934079153e-25,***,-0.691609663482225,-0.7719020828746053,-0.6113172440898447,alpha2,band_power
R_STG,log10_power_alpha2,WS->LSS1,WS → LSS1,61,-2.1294054684005954,3.832057442191957e-24,***,-0.6396503965075053,-0.7165836418392016,-0.562717151175809,alpha2,band_power
R_STG,log10_power_beta1,WS->TS,WS → TS,61,-1.0464527233953558,2.4843863814552523e-11,***,-0.11545106068210072,-0.14370689004869436,-0.08719523131550708,beta1,band_power
R_STG,log10_power_beta1,TS->ESS1,TS → ESS1,61,-0.5411334107209064,8.211548560339663e-05,***,-0.06979267839672453,-0.10282470813744007,-0.036760648656008976,beta1,band_power
R_STG,log10_power_beta1,ESS1->LSS1,ESS1 → LSS1,61,0.8490680835725056,1.0601638169926975e-08,***,0.13942845553085492,0.09737142118353154,0.1814854898781783,beta1,band_power
R_STG,log10_power_beta1,WS->ESS1,WS → ESS1,61,-1.1066032403468171,3.9558846879107434e-12,***,-0.18524373907882527,-0.22811648947328933,-0.1423709886843612,beta1,band_power
R_STG,log10_power_beta1,WS->LSS1,WS → LSS1,61,-0.21815271104209102,0.09358786599619048,ns,-0.04581528354797034,-0.09960255439607515,0.00797198730013448,beta1,band_power
