roi,band,metric_type,contrast,contrast_label,n_full,full_dz,half_dz_mean,half_dz_sd,ci95_lo,ci95_hi,dir_agree_pct,reliable,n_valid_iters
IPG,delta,peak_height,WS->TS,WS → TS,61,-0.1017,-0.1,0.1364,-0.366,0.1577,77.5,False,1000
IPG,delta,peak_height,TS->ESS1,TS → ESS1,61,0.7948,0.8111,0.1728,0.5115,1.1966,100.0,True,1000
IPG,delta,peak_height,ESS1->LSS1,ESS1 → LSS1,61,0.6357,0.6364,0.1026,0.4443,0.8429,100.0,True,1000
IPG,delta,peak_height,WS->ESS1,WS → ESS1,61,0.4648,0.4743,0.1561,0.2103,0.8232,100.0,True,1000
IPG,delta,peak_height,WS->LSS1,WS → LSS1,61,0.8432,0.8572,0.1833,0.5698,1.2634,100.0,True,1000
IPG,theta,band_power,WS->TS,WS → TS,61,0.1026,0.1035,0.1413,-0.141,0.408,78.6,False,1000
IPG,theta,band_power,TS->ESS1,TS → ESS1,61,0.592,0.599,0.1343,0.3587,0.8919,100.0,True,1000
IPG,theta,band_power,ESS1->LSS1,ESS1 → LSS1,61,1.5268,1.5475,0.189,1.2403,1.9655,100.0,True,1000
IPG,theta,band_power,WS->ESS1,WS → ESS1,61,0.4817,0.4887,0.1372,0.2388,0.7731,100.0,True,1000
IPG,theta,band_power,WS->LSS1,WS → LSS1,61,1.4984,1.5149,0.1504,1.2718,1.8329,100.0,True,1000
IPG,theta,peak_height,WS->TS,WS → TS,61,0.2308,0.2307,0.1304,-0.0186,0.4839,96.2,True,1000
IPG,theta,peak_height,TS->ESS1,TS → ESS1,61,0.4656,0.473,0.1685,0.1823,0.8383,100.0,True,1000
IPG,theta,peak_height,ESS1->LSS1,ESS1 → LSS1,61,0.5651,0.5757,0.1487,0.3144,0.8938,100.0,True,1000
IPG,theta,peak_height,WS->ESS1,WS → ESS1,61,0.5942,0.5936,0.1598,0.3309,0.9682,100.0,True,1000
IPG,theta,peak_height,WS->LSS1,WS → LSS1,61,0.9412,0.9471,0.1395,0.6979,1.2389,100.0,True,1000
IPG,alpha1,band_power,WS->TS,WS → TS,61,-1.4564,-1.4749,0.1912,-1.889,-1.1615,100.0,True,1000
IPG,alpha1,band_power,TS->ESS1,TS → ESS1,61,-1.7396,-1.762,0.1723,-2.1301,-1.4734,100.0,True,1000
IPG,alpha1,band_power,ESS1->LSS1,ESS1 → LSS1,61,0.1853,0.2022,0.1577,-0.0619,0.5235,91.9,True,1000
IPG,alpha1,band_power,WS->ESS1,WS → ESS1,61,-2.468,-2.5084,0.2648,-3.119,-2.0919,100.0,True,1000
IPG,alpha1,band_power,WS->LSS1,WS → LSS1,61,-2.3307,-2.3518,0.2393,-2.8705,-1.9643,100.0,True,1000
IPG,alpha1,peak_height,WS->TS,WS → TS,61,-0.855,-0.8734,0.1416,-1.1755,-0.6284,100.0,True,1000
IPG,alpha1,peak_height,TS->ESS1,TS → ESS1,61,-2.0567,-2.0797,0.2065,-2.5288,-1.7335,100.0,True,1000
IPG,alpha1,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.6248,-0.6326,0.1146,-0.8836,-0.432,100.0,True,1000
IPG,alpha1,peak_height,WS->ESS1,WS → ESS1,61,-2.6074,-2.6443,0.3379,-3.4038,-2.1366,100.0,True,1000
IPG,alpha1,peak_height,WS->LSS1,WS → LSS1,61,-2.8373,-2.854,0.3219,-3.5768,-2.3641,100.0,True,1000
IPG,alpha2,band_power,WS->TS,WS → TS,61,-0.7948,-0.8028,0.1455,-1.1094,-0.5379,100.0,True,1000
IPG,alpha2,band_power,TS->ESS1,TS → ESS1,61,-1.9753,-1.999,0.2177,-2.5046,-1.6475,100.0,True,1000
IPG,alpha2,band_power,ESS1->LSS1,ESS1 → LSS1,61,0.0621,0.0637,0.1367,-0.2252,0.3349,69.1,False,1000
IPG,alpha2,band_power,WS->ESS1,WS → ESS1,61,-2.0905,-2.1034,0.1825,-2.5162,-1.7926,100.0,True,1000
IPG,alpha2,band_power,WS->LSS1,WS → LSS1,61,-2.0738,-2.0914,0.1753,-2.4818,-1.7961,100.0,True,1000
IPG,alpha2,peak_height,WS->TS,WS → TS,61,-0.2704,-0.2738,0.1289,-0.5254,-0.025,98.2,True,1000
IPG,alpha2,peak_height,TS->ESS1,TS → ESS1,61,-1.8059,-1.8179,0.1754,-2.2036,-1.5279,100.0,True,1000
IPG,alpha2,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.3929,-0.4105,0.1574,-0.7446,-0.1289,99.8,True,1000
IPG,alpha2,peak_height,WS->ESS1,WS → ESS1,61,-1.7923,-1.7991,0.1609,-2.1371,-1.5226,100.0,True,1000
IPG,alpha2,peak_height,WS->LSS1,WS → LSS1,61,-1.7824,-1.8046,0.1842,-2.2316,-1.5108,100.0,True,1000
IPG,beta1,band_power,WS->TS,WS → TS,61,-0.9662,-0.9839,0.1916,-1.4307,-0.6779,100.0,True,1000
IPG,beta1,band_power,TS->ESS1,TS → ESS1,61,-0.966,-0.9716,0.1444,-1.2733,-0.7199,100.0,True,1000
IPG,beta1,band_power,ESS1->LSS1,ESS1 → LSS1,61,0.7364,0.7398,0.1364,0.4987,1.035,100.0,True,1000
IPG,beta1,band_power,WS->ESS1,WS → ESS1,61,-1.4714,-1.4869,0.1547,-1.816,-1.2261,100.0,True,1000
IPG,beta1,band_power,WS->LSS1,WS → LSS1,61,-0.6297,-0.6399,0.149,-0.9639,-0.3845,100.0,True,1000
IPG,beta1,peak_height,WS->TS,WS → TS,61,-0.5164,-0.5211,0.1345,-0.8018,-0.2723,100.0,True,1000
IPG,beta1,peak_height,TS->ESS1,TS → ESS1,61,-0.2302,-0.2351,0.1302,-0.4981,0.0236,96.6,True,1000
IPG,beta1,peak_height,ESS1->LSS1,ESS1 → LSS1,61,0.5022,0.4998,0.1067,0.2981,0.6971,100.0,True,1000
IPG,beta1,peak_height,WS->ESS1,WS → ESS1,61,-0.5678,-0.5789,0.1336,-0.8595,-0.3387,100.0,True,1000
IPG,beta1,peak_height,WS->LSS1,WS → LSS1,61,-0.0725,-0.0781,0.138,-0.3537,0.1823,70.1,False,1000
IPG,beta2,band_power,WS->TS,WS → TS,61,-1.4781,-1.5213,0.1923,-1.9595,-1.214,100.0,True,1000
IPG,beta2,band_power,TS->ESS1,TS → ESS1,61,-1.4022,-1.4158,0.2032,-1.858,-1.0816,100.0,True,1000
IPG,beta2,band_power,ESS1->LSS1,ESS1 → LSS1,61,-0.2607,-0.2657,0.1393,-0.5384,0.0031,97.4,True,1000
IPG,beta2,band_power,WS->ESS1,WS → ESS1,61,-2.0853,-2.1179,0.2887,-2.8077,-1.6853,100.0,True,1000
IPG,beta2,band_power,WS->LSS1,WS → LSS1,61,-2.5154,-2.5597,0.2517,-3.0864,-2.1408,100.0,True,1000
IPG,beta2,peak_height,WS->TS,WS → TS,61,-0.7386,-0.7541,0.1512,-1.0735,-0.4971,100.0,True,1000
IPG,beta2,peak_height,TS->ESS1,TS → ESS1,61,-0.64,-0.6473,0.1229,-0.8984,-0.4261,100.0,True,1000
IPG,beta2,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.2997,-0.3232,0.165,-0.6709,-0.054,99.7,True,1000
IPG,beta2,peak_height,WS->ESS1,WS → ESS1,61,-1.2149,-1.2138,0.1605,-1.5634,-0.9525,100.0,True,1000
IPG,beta2,peak_height,WS->LSS1,WS → LSS1,61,-1.2939,-1.3026,0.1366,-1.6118,-1.0625,100.0,True,1000
