roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi
Occipital,alpha2_peak_height_log10,WS->LSS1,WS → LSS1,61,-1.358278404099688,2.1778088722952882e-15,***,-0.5800981284116559,-0.6894792602943132,-0.4707169965289986
Occipital,alpha2_peak_power_log10,WS->TS,WS → TS,61,-0.8016446317113879,4.483490039041158e-08,***,-0.2287497109026403,-0.3018313719674015,-0.1556680498378791
Occipital,alpha2_peak_power_log10,TS->ESS1,TS → ESS1,61,-1.5672393000837568,5.887086999941937e-18,***,-0.5818757532613777,-0.6769635296512865,-0.4867879768714691
Occipital,alpha2_peak_power_log10,ESS1->LSS1,ESS1 → LSS1,61,0.15789601013611615,0.22230810972282436,ns,0.027254918772668023,-0.016953347218286355,0.0714631847636224
Occipital,alpha2_peak_power_log10,WS->ESS1,WS → ESS1,61,-1.8965627256136677,1.0441088966676226e-21,***,-0.8106254641640182,-0.920092353173862,-0.7011585751541743
Occipital,alpha2_peak_power_log10,WS->LSS1,WS → LSS1,61,-1.8147230357293667,8.255268982130338e-21,***,-0.7833705453913499,-0.8939276434276977,-0.672813447355002
Occipital,alpha2_peak_present,WS->TS,WS → TS,61,-0.12803687993289595,0.32132650329324647,ns,-0.01639344262295082,-0.0491852101969551,0.01639832495105346
Occipital,alpha2_peak_present,TS->ESS1,TS → ESS1,61,-0.29634779238509984,0.024077327443763338,*,-0.08196721311475409,-0.1528055273446143,-0.011128898884893879
Occipital,alpha2_peak_present,ESS1->LSS1,ESS1 → LSS1,61,0.10425248555549065,0.41872858301815663,ns,0.03278688524590164,-0.04775902376123555,0.11333279425303883
Occipital,alpha2_peak_present,WS->ESS1,WS → ESS1,61,-0.32757065425956844,0.013057266593788409,*,-0.09836065573770492,-0.17526416744849319,-0.021457144026916647
Occipital,alpha2_peak_present,WS->LSS1,WS → LSS1,61,-0.2627261341593547,0.044545117032452,*,-0.06557377049180328,-0.12949669344112225,-0.0016508475424843183
Occipital,aperiodic_exponent,WS->TS,WS → TS,61,-0.19340613019103392,0.1361520146516807,ns,-0.04417500221858261,-0.10267233831181918,0.014322333874653974
Occipital,aperiodic_exponent,TS->ESS1,TS → ESS1,61,0.6131225871366638,1.138847511263737e-05,***,0.11456945005399738,0.06671181237754392,0.16242708773045084
Occipital,aperiodic_exponent,ESS1->LSS1,ESS1 → LSS1,61,1.297624273423792,1.2846229509779107e-14,***,0.3171792492485982,0.25457763234511593,0.37978086615208045
Occipital,aperiodic_exponent,WS->ESS1,WS → ESS1,61,0.2607726018651106,0.046100007181791795,*,0.07039444783541475,0.0012581386633154779,0.13953075700751402
Occipital,aperiodic_exponent,WS->LSS1,WS → LSS1,61,1.2078373305405357,1.8538805098419237e-13,***,0.387573697084013,0.3053919078928538,0.4697554862751722
Occipital,aperiodic_offset,WS->TS,WS → TS,61,-0.5276684668055375,0.00011739772056714233,***,-0.1515118548661448,-0.225050431190985,-0.07797327854130458
Occipital,aperiodic_offset,TS->ESS1,TS → ESS1,61,0.07029368723345608,0.585035173161621,ns,0.015545928295301015,-0.04109496317520247,0.0721868197658045
Occipital,aperiodic_offset,ESS1->LSS1,ESS1 → LSS1,61,1.3758340038581396,1.3090262368432822e-15,***,0.3608716543899787,0.29369529304108866,0.42804801573886875
Occipital,aperiodic_offset,WS->ESS1,WS → ESS1,61,-0.3793984056089067,0.004360251543319154,**,-0.1359659265708438,-0.22774936634268783,-0.04418248679899976
Occipital,aperiodic_offset,WS->LSS1,WS → LSS1,61,0.5625982399662284,4.6062586961149925e-05,***,0.2249057278191349,0.1225217752991564,0.32728968033911343
Occipital,beta1_peak_cf_hz,WS->TS,WS → TS,61,-0.11359083580368527,0.37852832077817494,ns,-0.29918032786885246,-0.9737386168158999,0.37537796107819493
Occipital,beta1_peak_cf_hz,TS->ESS1,TS → ESS1,61,0.09414778110179776,0.4650106999033769,ns,0.2459016393442623,-0.4230289862942496,0.9148322649827743
Occipital,beta1_peak_cf_hz,ESS1->LSS1,ESS1 → LSS1,61,-0.24355021213718409,0.06194975817565231,ns,-0.5983606557377049,-1.2275831816999432,0.03086187022453324
Occipital,beta1_peak_cf_hz,WS->ESS1,WS → ESS1,61,-0.01972745093223535,0.8780666439109014,ns,-0.05327868852459016,-0.7449699654040979,0.6384125883549175
Occipital,beta1_peak_cf_hz,WS->LSS1,WS → LSS1,61,-0.24301769752361932,0.06250582959631004,ns,-0.6516393442622951,-1.3383900916570317,0.03511140313244154
Occipital,beta1_peak_height_log10,WS->TS,WS → TS,61,-0.6018486058273919,1.5619968222509452e-05,***,-0.08063163685487795,-0.114943789239105,-0.0463194844706509
Occipital,beta1_peak_height_log10,TS->ESS1,TS → ESS1,61,0.2537639604371583,0.05206991095859316,ns,0.02844544475665156,-0.0002631893014349747,0.057154078814738093
Occipital,beta1_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,0.34917294472366117,0.008365328825734252,**,0.045311156792271864,0.012076261955245714,0.07854605162929801
Occipital,beta1_peak_height_log10,WS->ESS1,WS → ESS1,61,-0.33576319515501474,0.011051274215071892,*,-0.05218619209822638,-0.0919925335642479,-0.012379850632204856
Occipital,beta1_peak_height_log10,WS->LSS1,WS → LSS1,61,-0.03845655148810357,0.7649444192304312,ns,-0.006875035305954527,-0.05266120780719948,0.03891113719529043
Occipital,beta1_peak_power_log10,WS->TS,WS → TS,61,-0.9377670305157144,6.993748287790716e-10,***,-0.1699640452079683,-0.21638262443407053,-0.12354546598186605
