roi,method,band,contrast,n,dz,p,stars,mean_delta
FC_midline,IRASA,alpha2,ESS1->LSS1,61,-0.1914828302241009,0.14001807274380632,ns,-0.057398249963862294
FC_midline,IRASA,alpha2,WS->ESS1,61,-1.9084768935734948,7.760241280804316e-22,***,-0.8517187816055387
FC_midline,IRASA,alpha2,WS->LSS1,61,-1.8915344007880854,1.183793535472673e-21,***,-0.9091170315694008
FC_midline,IRASA,beta1,WS->TS,61,-0.7051948775289519,8.014981896890152e-07,***,-0.1866209518225938
FC_midline,IRASA,beta1,TS->ESS1,61,-0.692120342568592,1.1765341118229057e-06,***,-0.13366769495209543
FC_midline,IRASA,beta1,ESS1->LSS1,61,0.5391867050350622,8.649262975999503e-05,***,0.1297275825978625
FC_midline,IRASA,beta1,WS->ESS1,61,-0.965365816739993,2.994455615083114e-10,***,-0.32028864677468927
FC_midline,IRASA,beta1,WS->LSS1,61,-0.544783616800277,7.447929804953242e-05,***,-0.1905610641768268
FC_midline,IRASA,beta2,WS->TS,61,-1.1979505119868763,2.494321577241762e-13,***,-0.23841214256349202
FC_midline,IRASA,beta2,TS->ESS1,61,-1.2815560519927538,2.0639568260320066e-14,***,-0.2842471521845572
FC_midline,IRASA,beta2,ESS1->LSS1,61,-0.28120882348484283,0.031945358932516606,*,-0.05557803782672524
FC_midline,IRASA,beta2,WS->ESS1,61,-2.0162747700323393,5.558850077405828e-23,***,-0.5226592947480493
FC_midline,IRASA,beta2,WS->LSS1,61,-2.1826082822809783,1.1243774150230853e-24,***,-0.5782373325747745
FC_midline,IRASA,beta3,WS->TS,61,-0.39471535072554736,0.003096167204304761,**,-0.07643194858255224
FC_midline,IRASA,beta3,TS->ESS1,61,-1.0557042040908629,1.8715020758904684e-11,***,-0.19577528667900151
FC_midline,IRASA,beta3,ESS1->LSS1,61,-0.525132985715254,0.00012551252215771758,***,-0.10374406517346077
FC_midline,IRASA,beta3,WS->ESS1,61,-1.189783732088591,3.1883802595408837e-13,***,-0.27220723526155377
FC_midline,IRASA,beta3,WS->LSS1,61,-1.5233743134861295,1.98252402173884e-17,***,-0.37595130043501457
FC_midline,Hilbert,delta,WS->TS,61,-0.39263527830089157,0.0032450317817862167,**,-0.07404716142330527
FC_midline,Hilbert,delta,TS->ESS1,61,0.6585863166505982,3.118163923752827e-06,***,0.09694255833634424
FC_midline,Hilbert,delta,ESS1->LSS1,61,1.5924716704333344,2.9477849080691975e-18,***,0.3616931950149475
FC_midline,Hilbert,delta,WS->ESS1,61,0.10032450594619872,0.43638088558210314,ns,0.02289539691303899
FC_midline,Hilbert,delta,WS->LSS1,61,1.3052295662454827,1.0269675833359801e-14,***,0.38458859192798656
FC_midline,Hilbert,theta,WS->TS,61,0.16273047480290428,0.2086464424196762,ns,0.021853169680398073
FC_midline,Hilbert,theta,TS->ESS1,61,0.6365771396387183,5.861385645534596e-06,***,0.09252014589141316
FC_midline,Hilbert,theta,ESS1->LSS1,61,1.408958971224295,5.039368297395279e-16,***,0.3011666597719657
FC_midline,Hilbert,theta,WS->ESS1,61,0.5577492375786814,5.2534312458935254e-05,***,0.11437331557181124
FC_midline,Hilbert,theta,WS->LSS1,61,1.474754569797652,7.7472353652649e-17,***,0.41553997534377685
FC_midline,Hilbert,alpha1,WS->TS,61,-1.1802301835628588,4.250881303963196e-13,***,-0.24937538468733803
FC_midline,Hilbert,alpha1,TS->ESS1,61,-2.0168370238544813,5.484183874096705e-23,***,-0.5440342962585634
FC_midline,Hilbert,alpha1,ESS1->LSS1,61,-0.07328560885940444,0.5692038980086065,ns,-0.013406565217142102
FC_midline,Hilbert,alpha1,WS->ESS1,61,-2.414792773364965,6.679116914105549e-27,***,-0.7934096809459013
FC_midline,Hilbert,alpha1,WS->LSS1,61,-2.2477071485135878,2.575959756497512e-25,***,-0.8068162461630435
FC_midline,Hilbert,alpha2,WS->TS,61,-0.6877491823891038,1.337023072496986e-06,***,-0.17351998775110708
FC_midline,Hilbert,alpha2,TS->ESS1,61,-1.9954527712550227,9.187407346472723e-23,***,-0.6338138071896195
FC_midline,Hilbert,alpha2,ESS1->LSS1,61,-0.24702155681487067,0.058426768501124486,ns,-0.0462534392987813
FC_midline,Hilbert,alpha2,WS->ESS1,61,-2.172225417564428,1.4261317374945999e-24,***,-0.8073337949407267
FC_midline,Hilbert,alpha2,WS->LSS1,61,-2.3059862331307395,7.056843178963115e-26,***,-0.8535872342395079
FC_midline,Hilbert,beta1,WS->TS,61,-1.055758347094933,1.8684030982258806e-11,***,-0.12790269631925455
FC_midline,Hilbert,beta1,TS->ESS1,61,-1.1704359372084736,5.711345689266094e-13,***,-0.13615985358581897
FC_midline,Hilbert,beta1,ESS1->LSS1,61,0.6866151338173042,1.3820696223820443e-06,***,0.11280424537069425
FC_midline,Hilbert,beta1,WS->ESS1,61,-1.6897371907999366,2.1461921501121182e-19,***,-0.2640625499050735
FC_midline,Hilbert,beta1,WS->LSS1,61,-0.7206191959448502,5.08344792022034e-07,***,-0.15125830453437927
FC_midline,Hilbert,beta2,WS->TS,61,-1.4836342879661633,6.03199036139977e-17,***,-0.20457821864791614
FC_midline,Hilbert,beta2,TS->ESS1,61,-1.4799061458158074,6.699788892169027e-17,***,-0.27597818607837177
