roi,contrast,method1,method2,r,p,dir_agreement_pct,n_bands
SPG,TS->ESS1,Residual,Hilbert,0.8740321145739749,0.010095977853127837,71.42857142857143,7
SPG,TS->ESS1,IRASA,Hilbert,0.9629022752083305,0.0004990405953210539,100.0,7
SPG,ESS1->LSS1,Residual,IRASA,0.7522698642861693,0.05107280201321246,71.42857142857143,7
SPG,ESS1->LSS1,Residual,Hilbert,0.7892785770545858,0.034821885256563656,71.42857142857143,7
SPG,ESS1->LSS1,IRASA,Hilbert,0.9871779925830555,3.5510289673275855e-05,100.0,7
SPG,WS->ESS1,Residual,IRASA,0.9496312943211616,0.0010642295606315196,85.71428571428571,7
SPG,WS->ESS1,Residual,Hilbert,0.9231780518123638,0.0030133921362737568,85.71428571428571,7
SPG,WS->ESS1,IRASA,Hilbert,0.9922215188746205,1.0206544081082417e-05,100.0,7
SPG,WS->LSS1,Residual,IRASA,0.8423464783017538,0.017378490545950236,85.71428571428571,7
SPG,WS->LSS1,Residual,Hilbert,0.8128277328108453,0.02624585987641909,85.71428571428571,7
SPG,WS->LSS1,IRASA,Hilbert,0.9947577180864996,3.8109567570099223e-06,100.0,7
L_STG,WS->TS,Residual,IRASA,0.9566917803064827,0.0007323665647184305,71.42857142857143,7
L_STG,WS->TS,Residual,Hilbert,0.9353412919854522,0.001971558706711524,71.42857142857143,7
L_STG,WS->TS,IRASA,Hilbert,0.9768560321975874,0.00015457611419563563,100.0,7
L_STG,TS->ESS1,Residual,IRASA,0.9136797124156542,0.004011912958249244,100.0,7
L_STG,TS->ESS1,Residual,Hilbert,0.9021202265590432,0.0054578947205154915,100.0,7
L_STG,TS->ESS1,IRASA,Hilbert,0.9818260367962267,8.469084640885e-05,100.0,7
L_STG,ESS1->LSS1,Residual,IRASA,0.9360386152058999,0.001919564352284351,100.0,7
L_STG,ESS1->LSS1,Residual,Hilbert,0.8718949345027187,0.010517071704717057,100.0,7
L_STG,ESS1->LSS1,IRASA,Hilbert,0.9757175839555551,0.00017418492071119413,100.0,7
L_STG,WS->ESS1,Residual,IRASA,0.9059427288421333,0.004951001969020833,85.71428571428571,7
L_STG,WS->ESS1,Residual,Hilbert,0.8897008640058807,0.007306802203364299,85.71428571428571,7
L_STG,WS->ESS1,IRASA,Hilbert,0.9762003628489153,0.00016569900717259707,100.0,7
L_STG,WS->LSS1,Residual,IRASA,0.9128475294227663,0.004107419420026971,85.71428571428571,7
L_STG,WS->LSS1,Residual,Hilbert,0.8899772814699133,0.007262227034258384,85.71428571428571,7
L_STG,WS->LSS1,IRASA,Hilbert,0.9975370239540192,5.774721428642267e-07,100.0,7
R_STG,WS->TS,Residual,IRASA,0.9631987453370585,0.0004892086274241158,71.42857142857143,7
